RegistrationNumber,AircraftCategory,Make,Model,AmateurBuilt,NumberofEngines,EngineType,takeoff_max_weight,AirportCode
 N5811D , Airplane , Schweizer , SGS 2-3C , No ,0,  ,13300, 49I 
 N4666J , Airplane , Cessna ,152, No ,1, Reciprocating ,9649, N40 
 N5434C , Airplane , Mooney Aircraft Corp. , M20K , No ,1, Reciprocating ,2149, CON 
 N144PG , Airplane , Beech , A36 , No ,1, Reciprocating ,6999, S73 
 N1100J , Airplane , Beech , H-18 , No ,2, Reciprocating ,617, 7A3 
 N457S , Airplane , Cessna ,414, No ,2, Reciprocating ,1697, 8NC 
 N49NS , Airplane , Cessna , 172RG , No ,1, Reciprocating ,2802, NH40 
 N9073P , Airplane , Cessna , T210R , No ,1, Reciprocating ,1860, EQA 
 N6069G , Airplane , Cessna , 208B , No ,1, Turbo Prop ,4750, CL13 
 N5829X , Airplane , American Champion , 7GCBC , No ,1, Reciprocating ,12500, KGIF 
 N360WS , Airplane , Aero Commander ,100, No ,1, Reciprocating ,1388, I73 
 N19698 , Airplane , Cessna , C150 , No ,1, Reciprocating ,4570, AMA 
 N39858 , Airplane , Beech ,200, No ,2, Turbo Shaft ,8000, FD30 
 N90U , Airplane , McDonnell Douglas , 600N , No ,1, Turbo Shaft ,12500, 4A9 
 N24202 , Airplane , Brown , Pitts S-1 , Yes ,1, Reciprocating ,2500, 8A7 
 N554FS , Airplane , Cirrus , SR22 , No ,  ,  ,1294, EHAM 
 N642CB , Airplane , McDonnell Douglas , DC-8-71F , No ,4, Turbo Fan ,10848, ID40 
 N8260X , Airplane , Beech , F35 , No ,1, Reciprocating ,2299, KGSO 
 N545TT , Airplane , Piper , PA-38-112 , No ,1, Reciprocating ,6300, KRMG 
 N30799 , Airplane , Eurocopter France , EC120B , No ,1, Turbo Shaft ,1697, SAN 
 N8FH , Airplane , Piper , PA-28-140 ,  ,  ,  ,2649, D95 
 N8361Q , Airplane , Waco , UPF-7 , No ,1, Reciprocating ,4750, FSO 
 N407JJ , Airplane , Boeing , A75N1(PT17) , No ,1, Reciprocating ,3999, 35D 
 N20DL , Airplane , Mooney , M20J , No ,1, Reciprocating ,1697, S33 
 N427RD , Airplane , Republic , RC-3 , No ,1, Reciprocating ,2649, BKL 
 N970AC , Airplane , Hallburg , Amphibian S21D , Yes ,1, Reciprocating ,9649, CXY 
 N16651 , Airplane , Boeing , 737-522 , No ,2, Turbo Jet ,1697, DYS 
 N91BH , Airplane , Bell ,407, No ,  ,  ,1294, AFN 
 N840PN , Airplane , Raytheon Aircraft Company , B200 , No ,2, Turbo Prop ,3800, HRI 
 N5618U , Airplane , Cirrus Design Corp. , SR20 , No ,  ,  ,4570, M02 
 N302LE , Airplane , SOCATA , TBM 700 , No ,1, Turbo Prop ,1697, OR05 
 N33FL , Airplane , C.W Crane , T2 , Yes ,1, Reciprocating ,1697, SC95 
 N9396F , Airplane , Robinson , R44 II , No ,  ,  ,2500, 1B2 
 N6501V , Airplane , CESSNA , 172K , No ,1, Reciprocating ,6300, 25N 
 N44635 , Airplane , Cessna , 172RG , No ,1, Reciprocating ,5299, WSSS 
 N9421Z , Airplane , Schweizer , 269C , No ,1, Reciprocating ,4570, 9N7 
 N523FX , Airplane , Cessna , 414A , No ,2, Reciprocating ,2500, N82 
 N410MA , Airplane , Piper , PA-12 , No ,1, Reciprocating ,3600, MMI 
 N8349C , Airplane , Cessna , 310Q , No ,2, Reciprocating ,1455, PIH 
 N45YB , Airplane , Martin/Harris , Harmon Rocket , Yes ,1, Reciprocating ,4750, 5C8 
 N7030T , Airplane , Piper , PA-46-500TP , No ,1, Turbo Prop ,4299, A39 
 N949S , Airplane ," Bombardier, Inc. ", DHC-8-103 , No ,2, Turbo Prop ,1697, RST 
 N69677 , Airplane , Cessna ,152, No ,1, Reciprocating ,1697, KONY 
 N9449M , Airplane , Cessna ,421, No ,2, Reciprocating ,1697, N41 
 N604JL , Airplane , Cessna , T210M , No ,1, Reciprocating ,5000, KRSW 
 N611SC , Airplane , Schweizer , SGS 2-32 , No ,0,  ,3968, KSAF 
 N76379 , Airplane , Piper , PA-46-310P , No ,1, Reciprocating ,4629, 6N5 
 N3222M , Airplane , Cirrus Design , SR-22 , No ,1, Reciprocating ,3800, 3GA7 
 N913MA , Airplane , Airbus Industrie , A310 , No ,  ,  ,3198, KPFN 
 N779BC , Airplane , Aviat , A-1B , No ,1, Reciprocating ,2799, FLX 
 N9165T , Airplane , Hughes , 269A , No ,1, Reciprocating ,1697, PAHO 
 N6487J , Airplane , Cessna , 172S , No ,1, Reciprocating ,1697, 7M4 
 N9525C , Airplane , Cessna , 172R , No ,1, Reciprocating ,11900, 70K 
 N7054H , Airplane , Tanker , DR-107 One Design , Yes ,1, Reciprocating ,1860, JRB 
 N3394J , Airplane , Airborne Windsports LTD , Classic , No ,1, Reciprocating ,1697, L41 
 N6640B , Airplane , JIHLAVAN , KP-5 , No ,1, Reciprocating ,4574, 00C 
 N6006P , Airplane , Cessna ,152, No ,1, Reciprocating ,3800, KWVI 
 N425JP , Airplane , Raytheon , B-1900 , No ,  ,  ,5599, 2FL0 
 N4540H , Airplane , Hiller , UH-12B , No ,  ,  ,2749, 57D 
 N113KJ , Airplane ," Bombardier, Inc. ", CL-600-2B19 , No ,2, Turbo Fan ,3417, PAH 
 N5697P , Airplane , Beechcraft , BE99 , No ,2, Turbo Prop ,3198, GCK 
 N46PT , Airplane , Cessna , 402-B , No ,2, Reciprocating ,2550, 67D 
 N8019F , Airplane , Cessna ,550, No ,2, Turbo Fan ,3600, AKN 
 N107FP , Airplane , Ross , Hummer Pitts Special , Yes ,1, Reciprocating ,3968, OKC 
 N9797Q , Airplane , Cessna , 550 Bravo , No ,  ,  ,18300, BDQ 
 N914C , Airplane , Cessna ,152, No ,1, Reciprocating ,1697, UAO 
 N216RV , Airplane , Cessna ,140, No ,1, Reciprocating ,1697, KPVU 
 N3129 , Airplane , Airbus Industrie , A300-600 , No ,  ,  ,1697, INZ 
 N119N , Airplane , Ryan , Navion , No ,1, Reciprocating ,4570, DCA 
 N9850G , Airplane , Cessna , 172D , No ,1, Reciprocating ,1697, 15G 
 N26FN , Airplane ," Greenhaw, William ", Lancair 360 , Yes ,1, Reciprocating ,1697, SDF 
 N665CD , Airplane , Piper , J3C-65 , No ,1, Reciprocating ,1697, 3I6 
 N804JH , Airplane ," Smith, Ted Aerostar ", 601P , No ,2, Reciprocating ,1697, AZ27 
 N7198N , Airplane , Robinson , R-22 Beta 2 , No ,1, Reciprocating ,1697, 68NC 
 N380SP , Airplane , General Balloon Corp. , AX-6 , No ,0,  ,12500, LA71 
 N68469 , Airplane , Ayres , S2R-G6 , No ,1, Turbo Prop ,1697, OI68 
 N471BW , Airplane , Reisinger , Sonerai II L , Yes ,1, Reciprocating ,3968, 2FA6 
 N74HP , Airplane , DASSAULT , FALCON900 , No ,3, Turbo Fan ,1157, I19 
 N414AY , Airplane ," Quad City Ultralight, LLC ", Challenger Special , Yes ,1, Reciprocating ,1697, 63C 
 N3144D , Airplane , Bell Helicopter , 206BIII , No ,1, Turbo Shaft ,3198, FL37 
 N805SB , Airplane , Cessna , 182E , No ,1, Reciprocating ,5299, K82 
 N79KD , Airplane , Foley James , Searey , Yes ,1, Reciprocating ,4750, CN12 
 N4426X , Airplane , Cessna ,120, No ,1, Reciprocating ,8000, KLHZ 
 N180BM , Airplane , Balloon Works , Firefly 9B-15 , No ,0,  ,1697, W57 
 N93239 , Airplane , Douglas , C54G-DC , No ,4, Reciprocating ,1499, 17Z 
 N172LF , Airplane , Cessna , 182R , No ,1, Reciprocating ,1697, AJR 
 N977SA , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,3600, 2K7 
 N61235 , Airplane , Cessna , 150A , No ,1, Reciprocating ,9649, 9A0 
 N8092L , Airplane , Piper , PA-46-500TP , No ,1, Turbo Prop ,3600, MTO 
 N115SE , Airplane , Piaggio Industrie , P180 , No ,2, Turbo Prop ,4750, AR91 
 N8181C , Airplane , Beech , A36 , No ,1, Reciprocating ,6999, KSEZ 
 N1915N , Airplane , Partenavia , P 68C , No ,2, Reciprocating ,21999, KLMS 
 N67503 , Airplane , Jim Garrison , N11 , Yes ,1, Reciprocating ,1697, D15 
 N7499E , Airplane , Cessna ,177, No ,1, Reciprocating ,5399, L49 
 N81HT , Airplane , Piper , PA-46-500TP , No ,1, Turbo Prop ,1697, VLA 
 N4925L , Airplane , Luscombe , 8A , No ,1, Reciprocating ,1600, OXR 
 N205DB , Airplane , Navion , G Model , No ,1, Reciprocating ,15099, YIP 
 N1611W , Airplane , Cessna ,140, No ,1, Reciprocating ,9649, AGC 
 N500FU , Airplane , Piper , PA-18 , No ,1, Reciprocating ,4750, KTUS 
 N210MP , Airplane , Piper , PA-34-200 , No ,  ,  ,1455, MAF 
 N3887M , Airplane , Beech , A36 , No ,1, Reciprocating ,2200, ISP 
 N508XL , Airplane , Cessna ,425, No ,2, Turbo Prop ,3417, 2R5 
 N44594 , Airplane , Cessna , 182Q , No ,1, Reciprocating ,2799, AIY 
 N5779 , Airplane , Cessna ,525, No ,2, Turbo Jet ,2899, KBCT 
 N7092B , Airplane , Piper , PA 18-150 , No ,1, Reciprocating ,8000, DLG 
 N994HV , Airplane , MITSUBISHI , MU-2B-36 , No ,2, Turbo Prop ,2649, C080 
 N195AB , Airplane , Cessna , TR182 , No ,1, Reciprocating ,1697, 1S0 
 N2302A , Airplane , Robinson , R22 Beta , No ,1, Reciprocating ,1697, 0N4 
 N148HW , Airplane , Boeing , 757-212 , No ,  ,  ,1697, KMSO 
 N97949 , Airplane , Cessna , 172S , No ,1, Reciprocating ,1697, 3O1 
 N8990W , Airplane , Cessna ,310, No ,2, Reciprocating ,3648, 3V5 
 N28RJ , Airplane , Learjet , 35A , No ,2, Turbo Fan ,4750, MSP 
 N531XL , Airplane , Barron , Thorp T18 , Yes ,1, Reciprocating ,1697, ELI 
 N53095 , Airplane , Cessna , 207A , No ,1, Reciprocating ,4570, BWD 
 N8477F , Airplane , Gates Learjet , 24F , No ,2, Turbo Fan ,1499, KP48 
 N75EZ , Airplane , Piper , PA-60-601P , No ,2, Reciprocating ,12500, AOH 
 N525RV , Airplane , Raytheon , B300 , No ,2, Turbo Prop ,6499, KSBP 
 N72LC , Airplane , Cessna ,207, No ,1, Reciprocating ,1697, KBGT 
 N169JS , Airplane , Bell , 206B , No ,1, Turbo Shaft ,4570, BIS 
 N2619D , Airplane , MCDONNELL DOUGLAS , MD11 , No ,3, Turbo Fan ,3198, FCA 
 N4185L , Airplane , Beech , A-100 , No ,  ,  ,4570, KTCY 
 N305FE , Airplane , Schweizer , SGS 2-33 , No ,0,  ,4299, KSBA 
 N8246D , Airplane , Ryan Aeronautical , ST3KR , No ,1, Reciprocating ,4299, LOWK 
 N1442E , Airplane , Cessna , 182G , No ,1, Reciprocating ,1697, KOPN 
 N9522S , Airplane , Enstrom , F28A , No ,1, Reciprocating ,1697, KBKV 
 N60BS , Airplane , Cessna , 150M , No ,1, Reciprocating ,4199, 39K 
 N1374F , Airplane , Piper , PA-31-350 , No ,  ,  ,1697, 88M 
 N4115M , Airplane , Swearingen , SW-4 , No ,  ,  ,6999, 2W5 
 N85HY , Airplane , Airbus Industrie , A-319 , No ,  ,  ,2200, NYG 
 N74548 , Airplane , Piper , PA-34-200T , No ,2, Reciprocating ,1851, P29 
 N4159K , Airplane , Cessna , 182P , No ,1, Reciprocating ,1697, T45 
 N642BD , Airplane , Hughes , 369D , No ,1, Turbo Shaft ,2550, SBN 
 N2390T , Airplane , Cessna , 182R , No ,1, Reciprocating ,1697, 04FA 
 N202WB , Airplane , American Champion (ACAC) , 8GCBC , No ,1, Reciprocating ,18300, K59 
 N4038W , Airplane , Cessna , R182 , No ,1, Reciprocating ,16100, KOA 
 N6663V , Airplane , Cessna , 172S , No ,1, Reciprocating ,5299, 5S1 
 N87VF , Airplane , Marino , Exec 162F-1995 , Yes ,1, Reciprocating ,5000, OXC 
 N2031S , Airplane , Beech ,58, No ,2, Reciprocating ,6999, CIC 
 N24CF , Airplane , Fairchild Merlin , SA-226-T , No ,2, Turbo Prop ,2299, L45 
 N611BB , Airplane , Cesna , 172H , No ,1, Reciprocating ,6999, KPRB 
 N9430K , Airplane , Boeing , 737-400 , No ,2,  ,3600, TUP 
 N711A , Airplane , Piper , PA-34-200T , No ,2, Reciprocating ,2200, GRN 
 N5348K , Airplane , Cessna , 172S , No ,1, Reciprocating ,11600, 9D7 
 N606MC , Airplane , Piper , PA-28-180 , No ,1, Reciprocating ,5299, BVO 
 N218E , Airplane , Piper , PA-28-181 , No ,1, Reciprocating ,3798, 6FL0 
 N4549M , Airplane , Piper , PA 32R 301T , No ,1, Reciprocating ,4299, 2G4 
 N59571 , Airplane , Boeing , B757-200 ,  ,  ,  ,1499, WWR 
 N601VA , Airplane , Cessna , T210N , No ,1, Reciprocating ,6750, TJNR 
 N727PD , Airplane , Cessna , TR182 , No ,1, Reciprocating ,12500, BXA 
 N50977 , Airplane , Piper , PA-32-300 , No ,1, Reciprocating ,3968, 7PA1 
 N956AT , Airplane , MINO , Kitfox 3 , Yes ,1, Reciprocating ,3600, 28FL 
 N441AV , Airplane , Cessna , 150J , No ,1, Reciprocating ,3968, C62 
 N190WA , Airplane , Cessna ,140, No ,1, Reciprocating ,1294, 64CT 
 N962QC , Airplane , Tessier , Avid Flyer , Yes ,1, Reciprocating ,3968, KMFR 
 N2843V , Airplane , de Havilland , DHC-5 , No ,  ,  ,4570, 1H0 
 N2500S , Airplane , Sabreliner Corp. , NA-265T39 , No ,  ,  ,1294, 20V 
 N5016W , Airplane , Boeing , 767-300ER(F) , No ,  ,  ,3600, 39N 
 N330LF , Airplane , Hughes , 269C , No ,1, Reciprocating ,3600, AKW 
 N333LC , Airplane , Beech , BE-23 , No ,1, Reciprocating ,2649, OAJ 
 N428UA , Airplane , Averyt , Vans RV-4 , Yes ,1, Reciprocating ,3968, KCVO 
 N94684 , Airplane , Beech , B-99 , No ,2, Turbo Prop ,3600, IML 
 N94553 , Airplane , Piper , PA-28-161 , No ,  ,  ,9060, SEP 
 N904ME , Airplane , Piper , PA-24-260B , No ,1, Reciprocating ,12345, BET 
 N923ME , Airplane , Boeing , 737-400 , No ,  ,  ,3968, 35A 
 N328UA , Airplane , Mooney , M-20F , No ,1, Reciprocating ,3600, 1O5 
 N584FE , Airplane , Beech , A36 , No ,1, Reciprocating ,3000, MNN 
 N522ME , Airplane , Cessna , 172M , No ,1, Reciprocating ,3600, 6P3 
 N750LC , Airplane , Ercoupe (Eng & Research Corp.) , 415-C , No ,1, Reciprocating ,3999, KRHV 
 N102H , Airplane , Burkhart Grob , G-103A , No ,0,  ,8000, TNT 
 N5368E , Airplane , Cessna , T210L , No ,1, Reciprocating ,1697, 4K6 
 N1541T , Airplane , Cessna , 150M , No ,1, Reciprocating ,1860, 3Y2 
 N4141J , Airplane , Boeing , 737-7H4 , No ,2, Turbo Fan ,1369, 4G2 
 N53443 , Airplane , BOEING , 737-3A4 , No ,2, Turbo Fan ,1455, KPBI 
 N5657L , Airplane , Boeing , 747-436 , No ,4, Turbo Fan ,12345, X51 
 PPXKY , Airplane , Rockwell International ,114, No ,1, Reciprocating ,4570, WOO 
 N26324 , Airplane , Cessna , 172S , No ,1, Reciprocating ,1697, 8F3 
 N107TM , Airplane , Cessna ,414, No ,2, Reciprocating ,1697, 10G 
 N109HP , Airplane , Gates Learjet , 35A , No ,2, Turbo Fan ,5000, HTW 
 N158MD , Airplane , Cessna , 414A , No ,2, Reciprocating ,2649, 3S7 
 N4368L , Airplane , Cessna , T210M , No ,1, Reciprocating ,3600, FD02 
 N15852 , Airplane ," Morgan, Marvin R. ", Zenair CH701 STOL , Yes ,1, Reciprocating ,10950, KHUA 
 N460TM , Airplane , Cessna , 172N , No ,1, Reciprocating ,5299, GNG 
 N7953F , Airplane , Boeing , B737-400 ,  ,  ,  ,1697, 7S9 
 N9408B , Airplane , Boeing , 747-228F , No ,4, Turbo Fan ,1697, BLH 
 N407KH , Helicopter , Belcher , Helicycle , Yes ,1, Turbo Shaft ,1294, KBLU 
 N606RV , Airplane , Beech ,99, No ,2, Turbo Prop ,1697, 6FLO 
 N6017U , Airplane , Cessna , 340A , No ,2, Reciprocating ,4570, AVQ 
 N232TN , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,2949, FDK 
 D-ABVY , Airplane , Beech , A36 , No ,1, Reciprocating ,9649, PAOM 
 N6362T , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,1697, 6NC0 
 N506C , Airplane , CESSNA , 421B , No ,2, Reciprocating ,5000, HOT 
 N322FX , Airplane , Eurocopter , EC120B , No ,1, Turbo Shaft ,3399, HAF 
 N2097G , Airplane , Cavalier Aircraft Corp. , F51D Mustang , No ,1, Reciprocating ,4149, DTN 
 N916R , Airplane , Piper , PA-28-161 , No ,1, Reciprocating ,3968, 3AK 
 N20931 , Airplane , Cessna ,152, No ,1, Reciprocating ,1697, 48NC 
 N2591W , Airplane , Piper , PA-46-350P , No ,1, Turbo Prop ,4570, 4F1 
 N740AS , Airplane , Clopton Aero LLC , Aerocomp Compair 7SL , Yes ,1, Turbo Prop ,4570, 12N 
 N23175 , Airplane , Piper , PA-22-150 , No ,1, Reciprocating ,1369, R33 
 N952AC , Airplane , Piper , PA-28R-180 , No ,1, Reciprocating ,2899, HEG 
 N149TM , Airplane , Cessna , T210N , No ,1, Reciprocating ,2400, 5FL7 
 N8196B , Airplane , Beech , D95A , No ,2, Reciprocating ,6499, BOW 
 N1198N , Airplane , Beech , A36 , No ,1, Reciprocating ,5200, KMBO 
 N17105 , Airplane , Cirrus Design Corp. , SR22 , No ,1, Reciprocating ,3600, AK47 
 N9117T , Airplane , Cessna ,560, No ,2, Turbo Fan ,1697, TJSJ 
 N969ES , Airplane , Piper , PA-24-260 , No ,1, Reciprocating ,11574, LHD 
 N56MB , Airplane , Cessna , 150K , No ,1, Reciprocating ,1750, C47 
 N2590F , Airplane , Piper , PA 23-235 , No ,2, Reciprocating ,2649, K89 
 N68727 , Airplane , Scharnhorst , RV-4 , Yes ,1, Reciprocating ,2550, CDK 
 N57410 , Airplane , Cessna ,172, No ,1, Reciprocating ,1294, CEC 
 N1832N , Airplane , Bellanca , 17-30A , No ,1, Reciprocating ,2899, DLS 
 N1096W , Airplane , Cessna , 310Q , No ,  ,  ,12345, JRF 
 N32CX , Airplane , SAAB ,340, No ,2, Turbo Shaft ,6499, PHLI 
 N121LD , Airplane , Piper , PA-46-350P , No ,  ,  ,5399, BKV 
 N6090P , Airplane , Piper , PA-34-220T , No ,  ,  ,4570, 382F 
 N9179D , Airplane , Boeing , 737-824 , No ,2, Turbo Fan ,3999, F34 
 N9867Y , Airplane , Richard F. Sheldon , Aventura II , Yes ,1, Reciprocating ,8750, 01NC 
 N6849R , Airplane , Cessna ,421, No ,2, Reciprocating ,1455, 1R7 
 N1022J , Airplane , Cessna , 172C , No ,1, Reciprocating ,8000, XXX 
 N206LL , Glider , Schleicher , AS-K13 , No ,0,  ,3198, 10FA 
 N924FR , Glider , Beech , B36TC , No ,1, Reciprocating ,3600, 09CL 
 N7081N , Glider , Cessna , 310Q , No ,2, Reciprocating ,5299, KHSA 
 N22342 , Glider , Piper , PA-32-301 , No ,1, Reciprocating ,2899, GAF 
 N2135L , Glider , Bell ,407, No ,1, Turbo Shaft ,3600, 51AZ 
 N91BK , Glider , Piper , PA-31T1 , No ,2, Turbo Prop ,6999, S94 
 N45929 , Glider , Lingwall , Rebich-Pitts , Yes ,1, Reciprocating ,1851, KO69 
 N3404A , Glider , Piper , PA-28-161 , No ,1, Reciprocating ,3417, 1N4 
 N1382Y , Glider , Piper , J-2 , No ,1, Reciprocating ,5996, 17N 
 N5274S , Airplane , Extra Flugzeugbau GMBH , EA 300/L , No ,1, Reciprocating ,3600, I18 
 N64GK , Airplane , Gulfstream American Corp , 690C , No ,2, Turbo Prop ,10500, OIC 
 N200MW , Airplane , Piper , PA-28-140 , No ,1, Reciprocating ,3600, P08 
 N470 , Airplane , Bell ,407, No ,1, Turbo Shaft ,1900, 61CL 
 N6471V , Airplane , Navion , Navion G , No ,1, Reciprocating ,15000, ANE 
 N143DT , Helicopter , Hughes , 269B , No ,1, Reciprocating ,1455, IDA 
 N2426N , Airplane , Cessna , 172RG , No ,1, Reciprocating ,3203, 3O8 
 N401ER , Airplane , Piper , PA-28-151 , No ,1, Reciprocating ,8750, KSEA 
 N9176R , Airplane , Cessna , 172R , No ,1, Reciprocating ,4199, OG21 
 N10772 , Airplane ," Bombardier, Inc. ", BD-100-1A10 , No ,2, Turbo Fan ,1455, OOK 
 N6054Q , Helicopter , Bell , 412SP , No ,2, Turbo Shaft ,1455, ILL 
 N4942U , Helicopter , Piper , PA-32R-300 , No ,1, Reciprocating ,1455, UKI 
 N429AD , Helicopter , Higher Class Aviation , Super Hornet , No ,1, Reciprocating ,36817, ASL 
 N246MT , Helicopter , Ridgway , Bensen B8M , Yes ,1, Reciprocating ,1697, MLC 
 N9130N , Helicopter , Fagan , Rans S-6S , Yes ,1, Reciprocating ,3399, RPH 
 N614AS , Helicopter , Cessna , 310Q , No ,2, Reciprocating ,4570, KGPT 
 N121CS , Helicopter , Cessna , 210K , No ,1, Reciprocating ,3123, SSF 
 N5114V , Helicopter , John Lauer , Harmon Rocket II , Yes ,1, Reciprocating ,4629, L67 
 N401MS , Helicopter , Robinson , R-22 , No ,1, Reciprocating ,3417, 2WA3 
 N873MP , Helicopter , Cessna ,140, No ,1, Reciprocating ,4750, O52 
 N224VR , Helicopter , Piper , PA-12 , No ,1, Reciprocating ,1697, EEN 
 N501W , Helicopter , Cessna , 172R , No ,1, Reciprocating ,12500, 83GA 
 N1013Y , Helicopter , Fairchild , SA227BC , No ,1, Turbo Prop ,3968, UBE 
 N75262 , Helicopter , MOONEY , M20R , No ,1, Reciprocating ,5299, KHSV 
 N9019A , Helicopter , Boeing , 747-4Q8 ,  ,  ,  ,1697, 95F 
 N640F , Helicopter , Piper , PA-28-180 , No ,1, Reciprocating ,3968, CHS 
 N55JS , Helicopter , North American , AT-6C , No ,1, Reciprocating ,1455, LIT 
 N848TL , Helicopter , Piper , J3C-65 , No ,1, Reciprocating ,3968, 50F 
 N168EX , Helicopter , Raytheon Corporate Jets , Premier ,  ,  ,  ,3968, TN98 
 N8504T , Helicopter , Cessna , 150G , No ,1, Reciprocating ,3968, KGRD 
 N467JF , Helicopter , Cessna , 310B , No ,2, Reciprocating ,3968, 3GA8 
 N7336U , Helicopter , Cessna , P210N , No ,1, Reciprocating ,4570, 60J 
 N113AR , Helicopter , Cessna , C-425 , No ,2, Turbo Prop ,1455, K2IS 
 N180VT , Helicopter , Piper , PA-15 , No ,1, Reciprocating ,3399, ANW 
 N9877S , Helicopter , Waco Classic Aircraft Corp. , YMF-F5C , No ,1, Reciprocating ,2649, 5B6 
 N528WG , Helicopter , Piper , PA-24-250 , No ,1, Reciprocating ,3600, POU 
 N14HM , Helicopter , Piper , PA 46-350P , No ,1, Reciprocating ,2899, 4I9 
 N36687 , Helicopter , Cessna , 150F , No ,1, Reciprocating ,3800, NYO 
 N94LL , Helicopter , 107.5 Flying Corporation , One Design DR 107 , Yes ,1, Reciprocating ,4570, AUS 
 N4362G , Helicopter ," Smith, Ted Aerostar ", 601P , No ,2, Reciprocating ,3399, BRO 
 N8546P , Helicopter , Holloway , RV6A , Yes ,1, Reciprocating ,3968, IWD 
 N511SH , Helicopter , Noble , Vans RV-7A , Yes ,1, Reciprocating ,3968, ROW 
 N91181 , Helicopter , Stits Flut-R-Bug , SA6B , Yes ,1, Reciprocating ,3399, ILI 
 N810SB , Helicopter , Riley , D-16A , No ,2, Reciprocating ,3399, KHDH 
 N777WH , Helicopter , CESSNA ,  , No ,1,  ,3968, F12 
 N8122T , Helicopter , Learjet ,36, No ,2, Turbo Fan ,3399, 3T0 
 N906DA , Helicopter , Robinson , R44 , No ,1, Reciprocating ,3968, 16A 
 N929CD , Helicopter , Cirrus , SR22 , No ,1, Reciprocating ,1294, PAIM 
 N3103L , Helicopter , Piper , PA-46-500TP , No ,1, Turbo Prop ,3201, O36 
 N5103R , Helicopter , Grob , G 180 , No ,  ,  ,1294, TS94 
 N739XK , Helicopter , Bell ,412, No ,  ,  ,1455, GHW 
 N394BA , Helicopter , Robinson , R22B , No ,1, Reciprocating ,2649, TTN 
 N996PK , Helicopter , Cessna , 172S , No ,1, Reciprocating ,4299, HJR 
 N6974Q , Helicopter , Cessna ,152, No ,1, Reciprocating ,2550, S44 
 N3447N , Helicopter , Cessna , 421C , No ,2, Reciprocating ,9920, PBF 
 N1801V , Helicopter , Aviat , A-1B , No ,1, Reciprocating ,3600, KRNT 
 N4425Y , Helicopter , Robinson , R-44 , No ,  ,  ,5299, SMO 
 N39714 , Helicopter , Cessna , 414A , No ,2, Reciprocating ,2949, M41 
 N147SR , Helicopter , Beech , B36TC , No ,1, Reciprocating ,3399, EFC 
 N769RT , Helicopter , Bell , BH 206L-3 , No ,1, Turbo Shaft ,3968, PTB 
 N821SH , Helicopter , Yoakley , Glasair , Yes ,1, Reciprocating ,3968, MQY 
 N39ER , Helicopter , Interavia , E-3 , No ,1, Reciprocating ,1455, 4B1 
 N222DQ , Helicopter , Cessna , 180K , No ,1, Reciprocating ,2200, 3B3 
 N4775D , Helicopter , Cessna ,152, No ,1, Reciprocating ,3600, 94VA 
 N46RC , Helicopter , Cessna , 172N , No ,1, Reciprocating ,2649, THV 
 N1425Y , Helicopter , Cessna , T210M , No ,1, Reciprocating ,3597, KAJO 
 N70SR , Helicopter , Cessna , 150J , No ,1, Reciprocating ,2200, KHOU 
 N5304Y , Helicopter , Tennyson Howard , Baslee DR-1 , Yes ,1, Reciprocating ,3968, MRB 
 N266AL , Helicopter , Piper , PA-46-500TP , No ,  ,  ,4570, KMQY 
 N635GH , Helicopter , Keesler , Pulsar , Yes ,1, Reciprocating ,1499, CQX 
 N134U , Helicopter , Nanchang , CJ-6A , No ,1, Reciprocating ,3968, LRU 
 N2320Y , Helicopter , Beech , B55 , No ,  ,  ,4570, KVKS 
 N6379N , Helicopter , Cessna ,120, No ,1, Reciprocating ,3968, OR57 
 N40AW , Helicopter , Cessna ,152, No ,1, Reciprocating ,2751, 3KY2 
 N97811 , Helicopter , Cessna ,210, No ,1, Reciprocating ,1294, KUOS 
 N600U , Helicopter , Cessna , 172N , No ,1, Reciprocating ,0, X55 
 N27933 , Helicopter , Piper , PA-28-180 , No ,1, Reciprocating ,4570, 3NO 
 N134GW , Helicopter , Beech , V35 , No ,1, Reciprocating ,3198, RDM 
 N275ND , Helicopter , McDonnell Douglas , 369E , No ,1, Turbo Shaft ,3968, I39 
 N70946 , Helicopter , Hughes , 369E , No ,1, Turbo Shaft ,4570, CKB 
 N493Y , Helicopter , Cessna , T210N , No ,1, Reciprocating ,3968, MHR 
 N300BB , Helicopter , Piper , PA-32RT-300 , No ,1, Reciprocating ,617, DET 
 N7855R , Helicopter , Liberty Aerospace Inc. , XL-2 , No ,1, Reciprocating ,3600, 2J8 
 N5097P , Helicopter , Hudspeth Shawn D , Challenger II , Yes ,1, Reciprocating ,2799, FD88 
 N142MK , Helicopter , Baggett , RV6A , Yes ,1, Reciprocating ,3600, RWI 
 N71TA , Helicopter , Pippert , Zenith CH-701 , Yes ,1, Reciprocating ,2550, Y43 
 N189AC , Helicopter , Robinson , R22 Beta , No ,1, Reciprocating ,1294, 17K 
 N1920E , Helicopter , Cessna ,190, No ,1, Reciprocating ,3968, 8B8 
 N204BL , Helicopter , Robinson , R22 , No ,1, Reciprocating ,1851, 97FL 
