FlightNumber,accm_txn_complete_time
20070321X00312 ,5/18/2022 0:00
20070530X00662 ,5/19/2022 0:00
20070208X00157 ,5/14/2022 0:00
20070313X00287 ,5/15/2022 0:00
20070215X00197 ,5/16/2022 0:00
20070207X00149 ,5/17/2022 0:00
20070314X00292 ,5/18/2022 0:00
20070305X00244 ,5/19/2022 0:00
20070305X00243 ,5/14/2022 0:00
20070207X00148 ,5/15/2022 0:00
20070205X00137 ,5/16/2022 0:00
20070313X00286 ,5/17/2022 0:00
20070227X00232 ,5/18/2022 0:00
20070222X00210 ,5/19/2022 0:00
20080418X00512 ,5/14/2022 0:00
20070430X00477 ,5/15/2022 0:00
20070223X00218 ,5/16/2022 0:00
20070213X00172 ,5/17/2022 0:00
20070215X00195 ,5/18/2022 0:00
20070228X00236 ,5/19/2022 0:00
20070910X01348 ,5/14/2022 0:00
20070208X00159 ,5/15/2022 0:00
20070329X00343 ,5/16/2022 0:00
20081003X62954 ,5/17/2022 0:00
20070208X00162 ,5/18/2022 0:00
20070131X00119 ,5/19/2022 0:00
20070131X00120 ,5/14/2022 0:00
20070208X00160 ,5/15/2022 0:00
20070126X00096 ,5/16/2022 0:00
20070307X00261 ,5/17/2022 0:00
20070213X00179 ,5/18/2022 0:00
20070305X00248 ,5/19/2022 0:00
20070803X01090 ,5/14/2022 0:00
20070411X00391 ,5/15/2022 0:00
20070126X00095 ,5/16/2022 0:00
20070201X00122 ,5/17/2022 0:00
20070226X00223 ,5/18/2022 0:00
20070221X00201 ,5/19/2022 0:00
20070205X00138 ,5/14/2022 0:00
20070305X00251 ,5/15/2022 0:00
20070201X00123 ,5/16/2022 0:00
20070216X00198 ,5/17/2022 0:00
20081219X65325 ,5/18/2022 0:00
20070209X00164 ,5/19/2022 0:00
20070205X00136 ,5/14/2022 0:00
20070409X00379 ,5/15/2022 0:00
20070221X00203 ,5/16/2022 0:00
20070220X00200 ,5/17/2022 0:00
20070205X00135 ,5/18/2022 0:00
20070502X00498 ,5/19/2022 0:00
20070131X00117 ,5/14/2022 0:00
20070131X00118 ,5/15/2022 0:00
20070123X00087 ,5/16/2022 0:00
20070207X00151 ,5/17/2022 0:00
20070129X00102 ,5/18/2022 0:00
20070123X00088 ,5/19/2022 0:00
20070131X00121 ,5/14/2022 0:00
20070504X00514 ,5/15/2022 0:00
20070201X00124 ,5/16/2022 0:00
20070201X00125 ,5/17/2022 0:00
20070213X00180 ,5/18/2022 0:00
20070123X00077 ,5/19/2022 0:00
20070209X00168 ,5/14/2022 0:00
20070411X00388 ,5/15/2022 0:00
20070129X00100 ,5/16/2022 0:00
20070129X00099 ,5/17/2022 0:00
20070201X00128 ,5/18/2022 0:00
20070119X00071 ,5/19/2022 0:00
20070123X00090 ,5/14/2022 0:00
20070130X00116 ,5/15/2022 0:00
20081003X63350 ,5/16/2022 0:00
20070123X00086 ,5/17/2022 0:00
20070327X00326 ,5/18/2022 0:00
20070119X00072 ,5/19/2022 0:00
20070212X00171 ,5/14/2022 0:00
20070116X00058 ,5/15/2022 0:00
20070221X00205 ,5/16/2022 0:00
20070202X00130 ,5/17/2022 0:00
20070119X00075 ,5/18/2022 0:00
20070213X00173 ,5/19/2022 0:00
20070118X00066 ,5/14/2022 0:00
20070129X00098 ,5/15/2022 0:00
20070119X00076 ,5/16/2022 0:00
20070123X00091 ,5/17/2022 0:00
20081219X65333 ,5/18/2022 0:00
20070109X00023 ,5/19/2022 0:00
20070209X00165 ,5/14/2022 0:00
20070201X00126 ,5/15/2022 0:00
20070206X00139 ,5/16/2022 0:00
20070130X00111 ,5/17/2022 0:00
20070202X00129 ,5/18/2022 0:00
20070108X00015 ,5/19/2022 0:00
20070110X00037 ,5/14/2022 0:00
20070111X00039 ,5/15/2022 0:00
20070111X00040 ,5/16/2022 0:00
20070123X00085 ,5/17/2022 0:00
20070109X00021 ,5/18/2022 0:00
20070130X00114 ,5/19/2022 0:00
20070208X00161 ,5/14/2022 0:00
20070123X00082 ,5/15/2022 0:00
20070111X00038 ,5/16/2022 0:00
20070110X00035 ,5/17/2022 0:00
20070109X00030 ,5/18/2022 0:00
20070109X00022 ,5/19/2022 0:00
20070108X00016 ,5/14/2022 0:00
20070207X00152 ,5/15/2022 0:00
20070208X00154 ,5/16/2022 0:00
20070223X00222 ,5/17/2022 0:00
20070116X00055 ,5/18/2022 0:00
20070130X00109 ,5/19/2022 0:00
20070206X00144 ,5/14/2022 0:00
20070108X00020 ,5/15/2022 0:00
20070111X00045 ,5/16/2022 0:00
20070103X00004 ,5/17/2022 0:00
20070103X00001 ,5/18/2022 0:00
20070214X00191 ,5/19/2022 0:00
20070226X00227 ,5/14/2022 0:00
20070115X00051 ,5/15/2022 0:00
20070108X00014 ,5/16/2022 0:00
20070118X00068 ,5/17/2022 0:00
20070731X01070 ,5/18/2022 0:00
20070208X00155 ,5/19/2022 0:00
20070213X00175 ,5/14/2022 0:00
20070115X00052 ,5/15/2022 0:00
20070105X00010 ,5/16/2022 0:00
20070104X00006 ,5/17/2022 0:00
20070129X00108 ,5/18/2022 0:00
20070112X00046 ,5/19/2022 0:00
20070103X00005 ,5/14/2022 0:00
20070214X00190 ,5/15/2022 0:00
20070213X00176 ,5/16/2022 0:00
20070117X00062 ,5/17/2022 0:00
20070202X00134 ,5/18/2022 0:00
20070123X00080 ,5/19/2022 0:00
20070223X00220 ,5/14/2022 0:00
20070111X00042 ,5/15/2022 0:00
20061227X01849 ,5/16/2022 0:00
20070110X00036 ,5/17/2022 0:00
20070118X00069 ,5/18/2022 0:00
20070105X00011 ,5/19/2022 0:00
20070105X00012 ,5/14/2022 0:00
20070111X00043 ,5/15/2022 0:00
20070129X00101 ,5/16/2022 0:00
20070206X00141 ,5/17/2022 0:00
20070207X00150 ,5/18/2022 0:00
20070108X00017 ,5/19/2022 0:00
20070105X00013 ,5/14/2022 0:00
20070109X00029 ,5/15/2022 0:00
20070118X00070 ,5/16/2022 0:00
20070111X00044 ,5/17/2022 0:00
20070111X00041 ,5/18/2022 0:00
20061227X01848 ,5/19/2022 0:00
20070129X00103 ,5/14/2022 0:00
20070103X00002 ,5/15/2022 0:00
20061226X01846 ,5/16/2022 0:00
20061231X01855 ,5/17/2022 0:00
20061228X01853 ,5/18/2022 0:00
20070109X00024 ,5/19/2022 0:00
20070109X00025 ,5/14/2022 0:00
20070108X00019 ,5/15/2022 0:00
20070123X00079 ,5/16/2022 0:00
20070126X00094 ,5/17/2022 0:00
20061227X01847 ,5/18/2022 0:00
20061231X01859 ,5/19/2022 0:00
20061226X01844 ,5/14/2022 0:00
20070109X00028 ,5/15/2022 0:00
20061222X01843 ,5/16/2022 0:00
20061221X01837 ,5/17/2022 0:00
20070108X00018 ,5/18/2022 0:00
20070123X00084 ,5/19/2022 0:00
20061219X01808 ,5/14/2022 0:00
20070129X00104 ,5/15/2022 0:00
20061220X01821 ,5/16/2022 0:00
20061220X01814 ,5/17/2022 0:00
20090617X33018 ,5/18/2022 0:00
20061226X01845 ,5/19/2022 0:00
20061227X01850 ,5/14/2022 0:00
20061219X01807 ,5/15/2022 0:00
20070201X00127 ,5/16/2022 0:00
20070117X00063 ,5/17/2022 0:00
20070118X00067 ,5/18/2022 0:00
20070109X00027 ,5/19/2022 0:00
20061218X01804 ,5/14/2022 0:00
20061221X01825 ,5/15/2022 0:00
20061221X01831 ,5/16/2022 0:00
20061222X01838 ,5/17/2022 0:00
20070103X00003 ,5/18/2022 0:00
20070222X00211 ,5/19/2022 0:00
20070202X00132 ,5/14/2022 0:00
20070129X00107 ,5/15/2022 0:00
20090616X35505 ,5/16/2022 0:00
20061231X01860 ,5/17/2022 0:00
20061222X01842 ,5/18/2022 0:00
20061221X01833 ,5/19/2022 0:00
20070130X00110 ,5/14/2022 0:00
20070119X00073 ,5/15/2022 0:00
20070116X00053 ,5/16/2022 0:00
20070116X00056 ,5/17/2022 0:00
20070223X00221 ,5/18/2022 0:00
20061220X01815 ,5/19/2022 0:00
20061221X01827 ,5/14/2022 0:00
20061220X01817 ,5/15/2022 0:00
20061215X01795 ,5/16/2022 0:00
20061215X01796 ,5/17/2022 0:00
20061218X01801 ,5/18/2022 0:00
20061216X01799 ,5/19/2022 0:00
20061220X01816 ,5/14/2022 0:00
20061212X01777 ,5/15/2022 0:00
20061222X01841 ,5/16/2022 0:00
20070129X00105 ,5/17/2022 0:00
20061214X01794 ,5/18/2022 0:00
20061219X01806 ,5/19/2022 0:00
20061220X01818 ,5/14/2022 0:00
20061208X01759 ,5/15/2022 0:00
20070117X00059 ,5/16/2022 0:00
20070112X00048 ,5/17/2022 0:00
20070118X00065 ,5/18/2022 0:00
20061208X01758 ,5/19/2022 0:00
20061213X01780 ,5/14/2022 0:00
20061231X01858 ,5/15/2022 0:00
20061231X01856 ,5/16/2022 0:00
20061221X01834 ,5/17/2022 0:00
20061206X01742 ,5/18/2022 0:00
20061220X01813 ,5/19/2022 0:00
20070117X00064 ,5/14/2022 0:00
20061218X01800 ,5/15/2022 0:00
20070116X00054 ,5/16/2022 0:00
20061214X01790 ,5/17/2022 0:00
20061216X01798 ,5/18/2022 0:00
20061212X01776 ,5/19/2022 0:00
20061207X01753 ,5/14/2022 0:00
20070130X00115 ,5/15/2022 0:00
20070119X00074 ,5/16/2022 0:00
20061208X01764 ,5/17/2022 0:00
20061208X01761 ,5/18/2022 0:00
20070125X00092 ,5/19/2022 0:00
20061208X01760 ,5/14/2022 0:00
20061211X01767 ,5/15/2022 0:00
20061214X01788 ,5/16/2022 0:00
20070123X00089 ,5/17/2022 0:00
20061206X01746 ,5/18/2022 0:00
20061213X01784 ,5/19/2022 0:00
20070126X00093 ,5/14/2022 0:00
20070109X00026 ,5/15/2022 0:00
20070105X00008 ,5/16/2022 0:00
20061204X01728 ,5/17/2022 0:00
20061206X01743 ,5/18/2022 0:00
20061204X01729 ,5/19/2022 0:00
20061205X01734 ,5/14/2022 0:00
20061214X01789 ,5/15/2022 0:00
20061129X01719 ,5/16/2022 0:00
20070123X00083 ,5/17/2022 0:00
20061212X01774 ,5/18/2022 0:00
20070202X00133 ,5/19/2022 0:00
20070109X00032 ,5/14/2022 0:00
20061214X01792 ,5/15/2022 0:00
20061201X01723 ,5/16/2022 0:00
20070312X00276 ,5/17/2022 0:00
20061205X01737 ,5/18/2022 0:00
20061206X01744 ,5/19/2022 0:00
20061220X01811 ,5/14/2022 0:00
20070105X00009 ,5/15/2022 0:00
20070117X00060 ,5/16/2022 0:00
20070301X00241 ,5/17/2022 0:00
20061228X01854 ,5/18/2022 0:00
20070109X00031 ,5/19/2022 0:00
20061205X01735 ,5/14/2022 0:00
20061231X01857 ,5/15/2022 0:00
20061122X01705 ,5/16/2022 0:00
20061221X01823 ,5/17/2022 0:00
20061221X01828 ,5/18/2022 0:00
20061220X01810 ,5/19/2022 0:00
20070202X00131 ,5/14/2022 0:00
20061213X01779 ,5/15/2022 0:00
20061220X01819 ,5/16/2022 0:00
20061220X01820 ,5/17/2022 0:00
20061221X01824 ,5/18/2022 0:00
20061220X01812 ,5/19/2022 0:00
20061221X01830 ,5/14/2022 0:00
20061124X01711 ,5/15/2022 0:00
20061127X01714 ,5/16/2022 0:00
20061124X01712 ,5/17/2022 0:00
20061214X01786 ,5/18/2022 0:00
20061218X01803 ,5/19/2022 0:00
20070112X00050 ,5/14/2022 0:00
20061218X01802 ,5/15/2022 0:00
20061208X01755 ,5/16/2022 0:00
20061127X01713 ,5/17/2022 0:00
20061204X01727 ,5/18/2022 0:00
20061212X01775 ,5/19/2022 0:00
20070221X00204 ,5/14/2022 0:00
20061122X01703 ,5/15/2022 0:00
20061122X01702 ,5/16/2022 0:00
20061121X01699 ,5/17/2022 0:00
20061219X01809 ,5/18/2022 0:00
20061122X01707 ,5/19/2022 0:00
20061121X01696 ,5/14/2022 0:00
20061214X01791 ,5/15/2022 0:00
20070112X00049 ,5/16/2022 0:00
20061122X01704 ,5/17/2022 0:00
20061120X01695 ,5/18/2022 0:00
20061117X01686 ,5/19/2022 0:00
20061116X01682 ,5/14/2022 0:00
20061114X01671 ,5/15/2022 0:00
20061221X01836 ,5/16/2022 0:00
20061207X01749 ,5/17/2022 0:00
20061208X01754 ,5/18/2022 0:00
20061129X01717 ,5/19/2022 0:00
20061114X01648 ,5/14/2022 0:00
20061117X01687 ,5/15/2022 0:00
20061117X01689 ,5/16/2022 0:00
20061120X01693 ,5/17/2022 0:00
20061121X01698 ,5/18/2022 0:00
20061114X01649 ,5/19/2022 0:00
20061115X01680 ,5/14/2022 0:00
20070109X00033 ,5/15/2022 0:00
20061222X01840 ,5/16/2022 0:00
20061221X01832 ,5/17/2022 0:00
20061119X01690 ,5/18/2022 0:00
20061120X01691 ,5/19/2022 0:00
20061117X01685 ,5/14/2022 0:00
20061117X01683 ,5/15/2022 0:00
20061206X01741 ,5/16/2022 0:00
20061208X01757 ,5/17/2022 0:00
20061207X01751 ,5/18/2022 0:00
20061114X01673 ,5/19/2022 0:00
20061113X01637 ,5/14/2022 0:00
20061222X01839 ,5/15/2022 0:00
20061211X01768 ,5/16/2022 0:00
20061205X01738 ,5/17/2022 0:00
20070426X00458 ,5/18/2022 0:00
20070227X00233 ,5/19/2022 0:00
20070323X00325 ,5/14/2022 0:00
20061114X01644 ,5/15/2022 0:00
20061120X01694 ,5/16/2022 0:00
20061114X01642 ,5/17/2022 0:00
20061108X01625 ,5/18/2022 0:00
20061107X01621 ,5/19/2022 0:00
20061113X01638 ,5/14/2022 0:00
20061109X01633 ,5/15/2022 0:00
20061207X01748 ,5/16/2022 0:00
20061214X01793 ,5/17/2022 0:00
20061106X01613 ,5/18/2022 0:00
20061213X01783 ,5/19/2022 0:00
20061206X01745 ,5/14/2022 0:00
20061115X01677 ,5/15/2022 0:00
20061208X01756 ,5/16/2022 0:00
20061108X01628 ,5/17/2022 0:00
20061107X01619 ,5/18/2022 0:00
20061221X01822 ,5/19/2022 0:00
20061120X01692 ,5/14/2022 0:00
20061107X01620 ,5/15/2022 0:00
20061109X01634 ,5/16/2022 0:00
20061114X01651 ,5/17/2022 0:00
20061114X01650 ,5/18/2022 0:00
20061109X01632 ,5/19/2022 0:00
20070214X00189 ,5/14/2022 0:00
20061114X01639 ,5/15/2022 0:00
20061101X01594 ,5/16/2022 0:00
20061114X01643 ,5/17/2022 0:00
20070116X00057 ,5/18/2022 0:00
20061114X01646 ,5/19/2022 0:00
20061114X01672 ,5/14/2022 0:00
20061213X01778 ,5/15/2022 0:00
20061204X01726 ,5/16/2022 0:00
20061108X01622 ,5/17/2022 0:00
20061103X01604 ,5/18/2022 0:00
20061106X01609 ,5/19/2022 0:00
20061221X01835 ,5/14/2022 0:00
20061101X01593 ,5/15/2022 0:00
20061204X01725 ,5/16/2022 0:00
20061208X01765 ,5/17/2022 0:00
20061109X01631 ,5/18/2022 0:00
20061114X01652 ,5/19/2022 0:00
20061114X01655 ,5/14/2022 0:00
20061101X01592 ,5/15/2022 0:00
20061103X01602 ,5/16/2022 0:00
20061031X01576 ,5/17/2022 0:00
20061114X01656 ,5/18/2022 0:00
20061114X01658 ,5/19/2022 0:00
20061204X01724 ,5/14/2022 0:00
20061108X01627 ,5/15/2022 0:00
20061030X01572 ,5/16/2022 0:00
20061108X01623 ,5/17/2022 0:00
20061228X01852 ,5/18/2022 0:00
20061101X01589 ,5/19/2022 0:00
20061027X01565 ,5/14/2022 0:00
20061031X01585 ,5/15/2022 0:00
20061106X01611 ,5/16/2022 0:00
20061109X01635 ,5/17/2022 0:00
20061122X01710 ,5/18/2022 0:00
20061122X01709 ,5/19/2022 0:00
20061101X01600 ,5/14/2022 0:00
20061129X01722 ,5/15/2022 0:00
20061211X01766 ,5/16/2022 0:00
20061101X01598 ,5/17/2022 0:00
20061101X01599 ,5/18/2022 0:00
20061026X01559 ,5/19/2022 0:00
20061206X01740 ,5/14/2022 0:00
20061204X01730 ,5/15/2022 0:00
20061128X01715 ,5/16/2022 0:00
20061114X01670 ,5/17/2022 0:00
20061109X01629 ,5/18/2022 0:00
20061108X01626 ,5/19/2022 0:00
20070221X00206 ,5/14/2022 0:00
20061114X01640 ,5/15/2022 0:00
20061108X01624 ,5/16/2022 0:00
20061031X01586 ,5/17/2022 0:00
20061031X01577 ,5/18/2022 0:00
20061031X01574 ,5/19/2022 0:00
20061207X01747 ,5/14/2022 0:00
20061027X01564 ,5/15/2022 0:00
20070327X00329 ,5/16/2022 0:00
20061101X01597 ,5/17/2022 0:00
20061122X01706 ,5/18/2022 0:00
20061129X01721 ,5/19/2022 0:00
20061216X01797 ,5/14/2022 0:00
20061031X01581 ,5/15/2022 0:00
20061101X01595 ,5/16/2022 0:00
20061023X01550 ,5/17/2022 0:00
20061026X01561 ,5/18/2022 0:00
20061026X01562 ,5/19/2022 0:00
20061020X01544 ,5/14/2022 0:00
20061030X01573 ,5/15/2022 0:00
20061018X01532 ,5/16/2022 0:00
20061121X01701 ,5/17/2022 0:00
20061121X01697 ,5/18/2022 0:00
20061121X01700 ,5/19/2022 0:00
20061114X01647 ,5/14/2022 0:00
20061107X01617 ,5/15/2022 0:00
20061107X01618 ,5/16/2022 0:00
20061031X01580 ,5/17/2022 0:00
20061024X01554 ,5/18/2022 0:00
20061221X01826 ,5/19/2022 0:00
20061026X01563 ,5/14/2022 0:00
20061221X01829 ,5/15/2022 0:00
20061213X01781 ,5/16/2022 0:00
20061018X01536 ,5/17/2022 0:00
20061101X01596 ,5/18/2022 0:00
20061020X01543 ,5/19/2022 0:00
20061129X01718 ,5/14/2022 0:00
20061114X01641 ,5/15/2022 0:00
20070130X00113 ,5/16/2022 0:00
20061027X01569 ,5/17/2022 0:00
20061114X01660 ,5/18/2022 0:00
20061114X01663 ,5/19/2022 0:00
20061114X01669 ,5/14/2022 0:00
20061207X01750 ,5/15/2022 0:00
20061106X01616 ,5/16/2022 0:00
20061106X01608 ,5/17/2022 0:00
20061129X01720 ,5/18/2022 0:00
20061115X01675 ,5/19/2022 0:00
20061117X01684 ,5/14/2022 0:00
20061031X01584 ,5/15/2022 0:00
20061017X01529 ,5/16/2022 0:00
20061018X01530 ,5/17/2022 0:00
20061018X01533 ,5/18/2022 0:00
20061023X01551 ,5/19/2022 0:00
20061012X01501 ,5/14/2022 0:00
20061106X01614 ,5/15/2022 0:00
20061011X01495 ,5/16/2022 0:00
20061106X01615 ,5/17/2022 0:00
20061128X01716 ,5/18/2022 0:00
20061011X01499 ,5/19/2022 0:00
20061017X01525 ,5/14/2022 0:00
20061027X01567 ,5/15/2022 0:00
20070730X01060 ,5/16/2022 0:00
20061228X01851 ,5/17/2022 0:00
20070322X00319 ,5/18/2022 0:00
20061016X01522 ,5/19/2022 0:00
20061012X01505 ,5/14/2022 0:00
20061013X01516 ,5/15/2022 0:00
20061013X01517 ,5/16/2022 0:00
20061207X01752 ,5/17/2022 0:00
20061020X01549 ,5/18/2022 0:00
20061106X01607 ,5/19/2022 0:00
20061103X01603 ,5/14/2022 0:00
20061016X01523 ,5/15/2022 0:00
20061102X01601 ,5/16/2022 0:00
20061205X01739 ,5/17/2022 0:00
20061012X01504 ,5/18/2022 0:00
20061013X01518 ,5/19/2022 0:00
20061013X01514 ,5/14/2022 0:00
20061205X01733 ,5/15/2022 0:00
20061115X01678 ,5/16/2022 0:00
20061114X01664 ,5/17/2022 0:00
20061113X01636 ,5/18/2022 0:00
20061114X01662 ,5/19/2022 0:00
20061114X01668 ,5/14/2022 0:00
20061013X01520 ,5/15/2022 0:00
20070105X00007 ,5/16/2022 0:00
20061012X01500 ,5/17/2022 0:00
20061012X01506 ,5/18/2022 0:00
20061013X01513 ,5/19/2022 0:00
20061012X01502 ,5/14/2022 0:00
20061005X01459 ,5/15/2022 0:00
20061213X01782 ,5/16/2022 0:00
20061006X01475 ,5/17/2022 0:00
20061106X01610 ,5/18/2022 0:00
20061006X01477 ,5/19/2022 0:00
20061010X01494 ,5/14/2022 0:00
20061003X01444 ,5/15/2022 0:00
20061101X01588 ,5/16/2022 0:00
20061106X01612 ,5/17/2022 0:00
20061020X01548 ,5/18/2022 0:00
20061013X01512 ,5/19/2022 0:00
20061019X01541 ,5/14/2022 0:00
20071212X01929 ,5/15/2022 0:00
20061002X01435 ,5/16/2022 0:00
20061006X01481 ,5/17/2022 0:00
20061018X01534 ,5/18/2022 0:00
20061020X01547 ,5/19/2022 0:00
20061101X01591 ,5/14/2022 0:00
20061114X01666 ,5/15/2022 0:00
20061101X01590 ,5/16/2022 0:00
20061003X01442 ,5/17/2022 0:00
20070222X00213 ,5/18/2022 0:00
20061023X01552 ,5/19/2022 0:00
20061114X01665 ,5/14/2022 0:00
20061031X01587 ,5/15/2022 0:00
20061020X01545 ,5/16/2022 0:00
20061017X01526 ,5/17/2022 0:00
20061027X01568 ,5/18/2022 0:00
20061003X01440 ,5/19/2022 0:00
20060929X01430 ,5/14/2022 0:00
20070112X00047 ,5/15/2022 0:00
20061026X01560 ,5/16/2022 0:00
20061011X01497 ,5/17/2022 0:00
20061013X01511 ,5/18/2022 0:00
20060928X01417 ,5/19/2022 0:00
20060928X01421 ,5/14/2022 0:00
20061012X01509 ,5/15/2022 0:00
20061010X01492 ,5/16/2022 0:00
20061018X01535 ,5/17/2022 0:00
20060927X01405 ,5/18/2022 0:00
20060928X01424 ,5/19/2022 0:00
20061004X01447 ,5/14/2022 0:00
20060927X01409 ,5/15/2022 0:00
20060929X01429 ,5/16/2022 0:00
20060925X01392 ,5/17/2022 0:00
20061114X01661 ,5/18/2022 0:00
20061020X01542 ,5/19/2022 0:00
20061106X01606 ,5/14/2022 0:00
20070123X00081 ,5/15/2022 0:00
20061004X01453 ,5/16/2022 0:00
20061116X01681 ,5/17/2022 0:00
20061020X01546 ,5/18/2022 0:00
20060928X01423 ,5/19/2022 0:00
20061006X01480 ,5/14/2022 0:00
20060921X01373 ,5/15/2022 0:00
20060923X01380 ,5/16/2022 0:00
20061013X01519 ,5/17/2022 0:00
20061024X01553 ,5/18/2022 0:00
20061115X01676 ,5/19/2022 0:00
20060925X01397 ,5/14/2022 0:00
20070214X00188 ,5/15/2022 0:00
20060922X01376 ,5/16/2022 0:00
20061211X01769 ,5/17/2022 0:00
20061004X01446 ,5/18/2022 0:00
20061025X01558 ,5/19/2022 0:00
20061115X01679 ,5/14/2022 0:00
20061205X01731 ,5/15/2022 0:00
20061025X01557 ,5/16/2022 0:00
20060922X01374 ,5/17/2022 0:00
20061027X01570 ,5/18/2022 0:00
20060922X01377 ,5/19/2022 0:00
20070129X00106 ,5/14/2022 0:00
20060929X01432 ,5/15/2022 0:00
20061006X01478 ,5/16/2022 0:00
20060928X01425 ,5/17/2022 0:00
20061114X01667 ,5/18/2022 0:00
20061103X01605 ,5/19/2022 0:00
20060921X01372 ,5/14/2022 0:00
20060925X01387 ,5/15/2022 0:00
20060925X01389 ,5/16/2022 0:00
20061010X01493 ,5/17/2022 0:00
20060925X01398 ,5/18/2022 0:00
20061005X01464 ,5/19/2022 0:00
20060918X01362 ,5/14/2022 0:00
20060920X01368 ,5/15/2022 0:00
20061016X01524 ,5/16/2022 0:00
20061019X01538 ,5/17/2022 0:00
20061010X01487 ,5/18/2022 0:00
20061005X01460 ,5/19/2022 0:00
20070611X00708 ,5/14/2022 0:00
20060926X01403 ,5/15/2022 0:00
20060929X01431 ,5/16/2022 0:00
20080506X00604 ,5/17/2022 0:00
20060918X01361 ,5/18/2022 0:00
20060923X01379 ,5/19/2022 0:00
20060927X01406 ,5/14/2022 0:00
20060927X01410 ,5/15/2022 0:00
20060920X01367 ,5/16/2022 0:00
20061010X01488 ,5/17/2022 0:00
20061019X01540 ,5/18/2022 0:00
20061002X01437 ,5/19/2022 0:00
20060919X01365 ,5/14/2022 0:00
20061019X01539 ,5/15/2022 0:00
20060920X01370 ,5/16/2022 0:00
20060925X01390 ,5/17/2022 0:00
20060926X01404 ,5/18/2022 0:00
20060915X01345 ,5/19/2022 0:00
20060916X01354 ,5/14/2022 0:00
20061011X01496 ,5/15/2022 0:00
20061010X01490 ,5/16/2022 0:00
20061010X01491 ,5/17/2022 0:00
20060929X01433 ,5/18/2022 0:00
20060927X01408 ,5/19/2022 0:00
20060916X01353 ,5/14/2022 0:00
20061015X01521 ,5/15/2022 0:00
20060928X01413 ,5/16/2022 0:00
20060925X01394 ,5/17/2022 0:00
20060914X01341 ,5/18/2022 0:00
20060914X01336 ,5/19/2022 0:00
20070126X00097 ,5/14/2022 0:00
20061004X01452 ,5/15/2022 0:00
20060919X01366 ,5/16/2022 0:00
20060916X01351 ,5/17/2022 0:00
20060916X01352 ,5/18/2022 0:00
20061010X01489 ,5/19/2022 0:00
20061017X01527 ,5/14/2022 0:00
20061013X01515 ,5/15/2022 0:00
20061031X01578 ,5/16/2022 0:00
20060908X01313 ,5/17/2022 0:00
20060908X01318 ,5/18/2022 0:00
20060908X01316 ,5/19/2022 0:00
20061027X01571 ,5/14/2022 0:00
20061006X01476 ,5/15/2022 0:00
20060915X01343 ,5/16/2022 0:00
20060917X01355 ,5/17/2022 0:00
20060925X01391 ,5/18/2022 0:00
20061031X01583 ,5/19/2022 0:00
20070110X00034 ,5/14/2022 0:00
20061017X01528 ,5/15/2022 0:00
20060906X01308 ,5/16/2022 0:00
20060908X01322 ,5/17/2022 0:00
20060926X01401 ,5/18/2022 0:00
20060928X01416 ,5/19/2022 0:00
20060929X01427 ,5/14/2022 0:00
20060914X01340 ,5/15/2022 0:00
20060918X01358 ,5/16/2022 0:00
20061004X01448 ,5/17/2022 0:00
20060928X01415 ,5/18/2022 0:00
20060911X01325 ,5/19/2022 0:00
20060912X01330 ,5/14/2022 0:00
20061114X01659 ,5/15/2022 0:00
20060921X01371 ,5/16/2022 0:00
20060905X01283 ,5/17/2022 0:00
20061006X01483 ,5/18/2022 0:00
20060906X01292 ,5/19/2022 0:00
20060906X01291 ,5/14/2022 0:00
20060908X01321 ,5/15/2022 0:00
20061002X01438 ,5/16/2022 0:00
20061114X01657 ,5/17/2022 0:00
20061218X01805 ,5/18/2022 0:00
20061004X01451 ,5/19/2022 0:00
20061005X01465 ,5/14/2022 0:00
20060918X01360 ,5/15/2022 0:00
20070823X01230 ,5/16/2022 0:00
20061005X01472 ,5/17/2022 0:00
20060831X01268 ,5/18/2022 0:00
20060901X01277 ,5/19/2022 0:00
20060914X01335 ,5/14/2022 0:00
20061004X01454 ,5/15/2022 0:00
20061005X01468 ,5/16/2022 0:00
20060915X01347 ,5/17/2022 0:00
20060906X01297 ,5/18/2022 0:00
20060919X01364 ,5/19/2022 0:00
20060912X01329 ,5/14/2022 0:00
20060906X01298 ,5/15/2022 0:00
20060828X01244 ,5/16/2022 0:00
20061005X01471 ,5/17/2022 0:00
20060901X01279 ,5/18/2022 0:00
20060831X01265 ,5/19/2022 0:00
20061012X01508 ,5/14/2022 0:00
20060906X01305 ,5/15/2022 0:00
20060908X01315 ,5/16/2022 0:00
20060927X01407 ,5/17/2022 0:00
20060906X01296 ,5/18/2022 0:00
20060828X01246 ,5/19/2022 0:00
20061031X01582 ,5/14/2022 0:00
20060923X01378 ,5/15/2022 0:00
20060926X01402 ,5/16/2022 0:00
20061012X01503 ,5/17/2022 0:00
20060918X01356 ,5/18/2022 0:00
20060922X01375 ,5/19/2022 0:00
20060906X01300 ,5/14/2022 0:00
20061005X01469 ,5/15/2022 0:00
20061004X01449 ,5/16/2022 0:00
20060928X01419 ,5/17/2022 0:00
20060830X01259 ,5/18/2022 0:00
20060901X01276 ,5/19/2022 0:00
20060918X01357 ,5/14/2022 0:00
20061006X01479 ,5/15/2022 0:00
20061122X01708 ,5/16/2022 0:00
20060901X01280 ,5/17/2022 0:00
20061214X01787 ,5/18/2022 0:00
20060905X01290 ,5/19/2022 0:00
20060925X01395 ,5/14/2022 0:00
