AccidentNumber,Date,WeatherCondition,InjurySeverity,AircraftDamage,LocationID
 MIA07LA058 , 02/27/2007 , VMC , Fatal(2) , Substantial ,42383
 ATL07CA046 , 02/26/2007 , VMC , Non-Fatal , Substantial ,36445
 SEA07CA070 , 02/26/2007 , VMC , Non-Fatal , Substantial ,78366
 SEA07CA067 , 02/26/2007 , VMC , Non-Fatal , Substantial ,14252
 ENG07RA014 , 02/26/2007 ,  , Non-Fatal , Substantial ,125288
 LAX07CA041 , 02/26/2007 , VMC , Non-Fatal , Substantial ,38881
 CHI07CA077 , 02/26/2007 , VMC , Non-Fatal , Substantial ,129781
 NYC07CA069 , 02/25/2007 , VMC , Non-Fatal , Substantial ,101205
 MIA07LA053 , 02/25/2007 , VMC , Non-Fatal , Substantial ,10260
 MIA07LA054 , 02/24/2007 , VMC , Non-Fatal , Substantial ,127092
 SEA07LA066 , 02/24/2007 , VMC , Non-Fatal , Substantial ,54690
 DFW07IA077 , 02/24/2007 , VMC , Incident , Minor ,39460
 ATL07LA045 , 02/24/2007 , VMC , Fatal(2) , Substantial ,43026
 SEA07CA064 , 02/24/2007 , VMC , Non-Fatal , Substantial ,11951
 SEA07CA065 , 02/23/2007 , VMC , Non-Fatal , Substantial ,120674
 CHI07CA081 , 02/23/2007 , VMC , Non-Fatal , Substantial ,30053
 DFW07CA081 , 02/23/2007 , VMC , Non-Fatal , Substantial ,59374
 MIA07CA057 , 02/23/2007 , VMC , Non-Fatal , Substantial ,125229
 SEA07LA063 , 02/23/2007 , VMC , Non-Fatal , Substantial ,4264
 CHI07LA078 , 02/23/2007 , VMC , Non-Fatal ,  ,43498
 LAX07WA095 , 02/23/2007 ,  , Fatal(2) , Substantial ,14650
 CHI07CA076 , 02/23/2007 , VMC , Non-Fatal , Substantial ,99240
 DFW07LA076 , 02/22/2007 , VMC , Non-Fatal , Substantial ,58974
 NYC07LA068 , 02/22/2007 , VMC , Non-Fatal , Substantial ,1840
 SEA07LA059 , 02/21/2007 , VMC , Non-Fatal , Substantial ,116867
 MIA07IA052 , 02/21/2007 , VMC , Incident , Minor ,126055
 DFW07LA075 , 02/21/2007 , VMC , Non-Fatal , Substantial ,109567
 DFW07CA079 , 02/21/2007 , VMC , Non-Fatal , Destroyed ,113808
 DFW07CA066 , 02/21/2007 , VMC , Non-Fatal , Substantial ,20691
 DFW07CA074 , 02/21/2007 , VMC , Non-Fatal , Substantial ,68786
 DCA07WA027 , 02/21/2007 ,  , Non-Fatal , Destroyed ,114554
 LAX07CA091 , 02/20/2007 , VMC , Non-Fatal , Substantial ,64111
 MIA07CA051 , 02/20/2007 , VMC , Non-Fatal , Substantial ,109374
 ENG07WA017 , 02/20/2007 ,  , Non-Fatal ,  ,51769
 ANC07LA021 , 02/20/2007 , VMC , Non-Fatal , Substantial ,53471
 ATL07LA044 , 02/20/2007 , VMC , Non-Fatal , Substantial ,81486
 DFW07FA073 , 02/19/2007 , VMC , Fatal(1) , Destroyed ,27820
 LAX07CA090 , 02/19/2007 , VMC , Non-Fatal , Substantial ,109343
 DCA07MA072 , 02/18/2007 , IMC , Non-Fatal , Substantial ,71950
 DFW07FA071 , 02/18/2007 , VMC , Fatal(1) , Substantial ,27780
 MIA07LA050 , 02/17/2007 , VMC , Non-Fatal , Destroyed ,4727
 DCA07WA028 , 02/17/2007 ,  , Incident , Minor ,25969
 LAX07CA088 , 02/17/2007 , VMC , Non-Fatal , Substantial ,73609
 NYC07CA067 , 02/17/2007 , VMC , Non-Fatal , Substantial ,106644
 LAX07CA096 , 02/17/2007 , VMC , Non-Fatal , Substantial ,79559
 DFW07CA072 , 02/17/2007 , VMC , Non-Fatal , Substantial ,110967
 LAX07CA089 , 02/17/2007 , VMC , Non-Fatal , Substantial ,89494
 CHI07CA074 , 02/16/2007 , VMC , Non-Fatal , Substantial ,8195
 DEN07WA062 , 02/16/2007 , VMC , Fatal(1) , Destroyed ,113272
 CHI07FA073 , 02/16/2007 , IMC , Fatal(4) , Destroyed ,25628
 DEN07IA069 , 02/16/2007 , VMC , Incident , Minor ,515
 DFW07CA070 , 02/15/2007 , VMC , Non-Fatal , Substantial ,124214
 LAX07CA092 , 02/14/2007 , VMC , Non-Fatal , Substantial ,121646
 LAX07IA093 , 02/13/2007 , VMC , Incident ,  ,98967
 ANC07LA020 , 02/13/2007 , VMC , Non-Fatal , Substantial ,81883
 NYC07RA064 , 02/13/2007 , IMC , Non-Fatal , Destroyed ,112479
 CHI07FA069 , 02/12/2007 , VMC , Fatal(2) , Substantial ,103058
 DEN07WA060 , 02/12/2007 , VMC , Fatal(1) , Destroyed ,16009
 ATL07CA043 , 02/12/2007 , VMC , Non-Fatal , Substantial ,8972
 ATL07CA042 , 02/11/2007 , VMC , Non-Fatal , Substantial ,92364
 NYC07CA066 , 02/11/2007 , VMC , Non-Fatal , Substantial ,121174
 MIA07LA049 , 02/11/2007 , VMC , Non-Fatal , Substantial ,71391
 CHI07LA071 , 02/10/2007 , IMC , Non-Fatal , Substantial ,67573
 ENG07WA025 , 02/10/2007 ,  , Incident ,  ,128705
 ENG07WA019 , 02/10/2007 ,  , Incident ,  ,21068
 LAX07CA087 , 02/10/2007 , VMC , Fatal(1) , Substantial ,67570
 DFW07CA068 , 02/10/2007 , VMC , Non-Fatal , Substantial ,61749
 DEN07WA061 , 02/10/2007 , VMC , Fatal(3) , Destroyed ,125135
 CHI07CA082 , 02/10/2007 , VMC , Non-Fatal , Substantial ,55549
 DFW07CA069 , 02/10/2007 , VMC , Non-Fatal ,  ,96023
 NYC07IA063 , 02/10/2007 , VMC , Incident ,  ,78437
 ATL07FA040 , 02/09/2007 , IMC , Fatal(4) , Substantial ,114719
 LAX07CA086 , 02/09/2007 , VMC , Non-Fatal , Substantial ,55397
 LAX07CA085 , 02/09/2007 , VMC , Non-Fatal , Substantial ,113489
 DEN07CA070 , 02/09/2007 , IMC , Non-Fatal , Substantial ,66058
 ATL07LA041 , 02/09/2007 , VMC , Non-Fatal , Substantial ,17723
 DEN07FA059 , 02/09/2007 , IMC , Fatal(1) , Destroyed ,28169
 DFW07FA067 , 02/09/2007 , IMC , Fatal(2) , Destroyed ,12449
 SEA07LA062 , 02/08/2007 , VMC , Non-Fatal , Substantial ,112309
 SEA07FA061 , 02/08/2007 , VMC , Fatal(1) , Destroyed ,123737
 CHI07FA068 , 02/08/2007 , IMC , Non-Fatal , Substantial ,106866
 MIA07CA048 , 02/08/2007 , VMC , Non-Fatal , Substantial ,111069
 ANC07CA019 , 02/08/2007 , IMC , Non-Fatal , Substantial ,85212
 ATL07CA039 , 02/06/2007 , VMC , Non-Fatal , Substantial ,92896
 SEA07FA051 , 02/06/2007 , VMC , Fatal(3) , Substantial ,114705
 DFW07CA065 , 02/06/2007 , VMC , Non-Fatal , Substantial ,119101
 SEA07LA060 , 02/06/2007 , VMC , Fatal(1) , Substantial ,39572
 LAX07WA082 , 02/05/2007 , VMC , Non-Fatal , Substantial ,94244
 MIA07IA047 , 02/04/2007 , IMC , Incident , Minor ,769
 DFW07CA064 , 02/04/2007 , VMC , Non-Fatal , Substantial ,80195
 SEA07CA057 , 02/04/2007 , VMC , Non-Fatal , Substantial ,974
 ATL07CA037 , 02/03/2007 , VMC , Non-Fatal , Substantial ,53360
 CHI07WA065 , 02/03/2007 , IMC , Fatal(2) , Substantial ,123551
 LAX07LA079A , 02/03/2007 , VMC , Non-Fatal , Substantial ,18758
 LAX07LA079B , 02/03/2007 , VMC , Non-Fatal , Minor ,18971
 LAX07FA080 , 02/03/2007 , VMC , Fatal(1) , Substantial ,118263
 LAX07LA078 , 02/02/2007 , VMC , Non-Fatal , Substantial ,75489
 CHI07LA062 , 02/02/2007 , VMC , Fatal(2) , Substantial ,14930
 DEN07IA058 , 02/02/2007 , VMC , Incident ,  ,49829
 LAX07WA083 , 02/02/2007 , VMC , Non-Fatal , Substantial ,106632
 CHI07LA063 , 02/02/2007 , VMC , Non-Fatal , Substantial ,60517
 DCA07WA024 , 02/02/2007 ,  , Fatal(1) , Destroyed ,40888
 NYC07FA065 , 02/02/2007 , IMC , Fatal(3) , Destroyed ,96288
 MIA07CA046 , 02/02/2007 , VMC , Non-Fatal , Destroyed ,61132
 CHI07WA066 , 02/02/2007 ,  , Non-Fatal , Substantial ,125338
 ATL07FA038 , 02/02/2007 , IMC , Fatal(2) , Substantial ,9229
 LAX07WA084 , 02/01/2007 ,  , Fatal(3) , Destroyed ,83528
 NYC07CA093 , 02/01/2007 , VMC , Non-Fatal , Substantial ,46138
 CHI07LA064 , 02/01/2007 , VMC , Non-Fatal , Substantial ,49544
 ANC07LA018 , 02/01/2007 , VMC , Non-Fatal , Substantial ,107125
 NYC07LA061 , 01/31/2007 , VMC , Non-Fatal , Substantial ,29620
 SEA07LA056 , 01/31/2007 , VMC , Non-Fatal , Substantial ,47324
 ANC07CA017 , 01/31/2007 , VMC , Non-Fatal , Substantial ,6362
 LAX07CA077 , 01/31/2007 , VMC , Non-Fatal ,  ,87
 LAX07CA076 , 01/30/2007 , VMC , Non-Fatal , Substantial ,11230
 SEA07LA055 , 01/30/2007 , VMC , Non-Fatal , Substantial ,114345
 ATL07FA036 , 01/29/2007 , VMC , Fatal(1) , Substantial ,77076
 NYC07CA060 , 01/29/2007 , VMC , Non-Fatal , Substantial ,97456
 DFW07CA059 , 01/28/2007 , VMC , Non-Fatal , Substantial ,3676
 ATL07CA035 , 01/28/2007 , VMC , Non-Fatal , Substantial ,52120
 DCA08WA049 , 01/28/2007 ,  , Incident ,  ,21570
 DEN07CA080 , 01/28/2007 , VMC , Non-Fatal , Substantial ,68107
 DFW07LA061 , 01/27/2007 , VMC , Non-Fatal , Substantial ,100541
 MIA07CA045 , 01/27/2007 , VMC , Non-Fatal , Substantial ,40288
 DEN07CA056 , 01/26/2007 , VMC , Non-Fatal , Substantial ,94437
 DFW07CA060 , 01/26/2007 , VMC , Non-Fatal , Substantial ,85045
 MIA07CA044 , 01/26/2007 , VMC , Non-Fatal , Substantial ,125592
 LAX07LA075 , 01/26/2007 , VMC , Non-Fatal , Substantial ,48234
 DFW07CA063 , 01/26/2007 , VMC , Non-Fatal , Substantial ,88291
 DCA07WA023 , 01/25/2007 ,  , Non-Fatal , Minor ,73178
 DFW07WA062 , 01/25/2007 , VMC , Non-Fatal , Substantial ,22684
 DEN07IA055 , 01/25/2007 , VMC , Incident , Minor ,101396
 CHI07FA060A , 01/24/2007 , VMC , Non-Fatal , Substantial ,68930
 CHI07FA060B , 01/24/2007 , VMC , Non-Fatal , Substantial ,68954
 NYC07FA058 , 01/24/2007 , IMC , Non-Fatal , Substantial ,63827
 SEA07LA053 , 01/24/2007 , VMC , Non-Fatal , Substantial ,109438
 DEN07WA064 , 01/24/2007 , IMC , Incident , Minor ,41285
 DFW07CA058 , 01/24/2007 , VMC , Non-Fatal , Substantial ,17773
 SEA07CA054 , 01/23/2007 , VMC , Non-Fatal , Substantial ,44995
 ENG07WA024 , 01/23/2007 ,  , Incident ,  ,125488
 MIA07LA043 , 01/23/2007 , VMC , Non-Fatal , Substantial ,60874
 SEA07LA052 , 01/23/2007 , VMC , Non-Fatal , Substantial ,9854
 ATL07LA034 , 01/23/2007 , VMC , Non-Fatal , Substantial ,114208
 CHI07CA061 , 01/22/2007 , VMC , Non-Fatal , Substantial ,63178
 DEN07CA057 , 01/21/2007 , VMC , Non-Fatal , Substantial ,95873
 LAX07CA073 , 01/21/2007 , VMC , Non-Fatal , Substantial ,1036
 LAX07CA094 , 01/21/2007 , VMC , Non-Fatal , Substantial ,30351
 ATL07LA033 , 01/21/2007 , VMC , Non-Fatal , Substantial ,123391
 CHI07LA070 , 01/20/2007 , VMC , Non-Fatal , Destroyed ,111860
 ENG07RA012 , 01/20/2007 ,  , Incident , Minor ,107519
 LAX07CA074 , 01/20/2007 , VMC , Non-Fatal , Substantial ,18700
 LAX07CA072 , 01/19/2007 , VMC , Non-Fatal , Substantial ,801
 NYC07CA059 , 01/19/2007 , VMC , Non-Fatal , Substantial ,10633
 NYC07CA057 , 01/18/2007 , VMC , Non-Fatal , Substantial ,83998
 DEN07CA052 , 01/17/2007 , VMC , Non-Fatal , Substantial ,75202
 LAX07CA071 , 01/17/2007 , VMC , Non-Fatal ,  ,47686
 ANC07LA016 , 01/17/2007 , VMC , Non-Fatal , Substantial ,73731
 DEN07FA053 , 01/17/2007 , IMC , Fatal(2) , Destroyed ,111052
 DEN07FA054 , 01/17/2007 , VMC , Fatal(3) , Substantial ,39185
 SEA07LA049 , 01/16/2007 , VMC , Non-Fatal , Substantial ,90366
 SEA07IA058 , 01/16/2007 , VMC , Incident , Minor ,51400
 DEN07LA051 , 01/15/2007 , VMC , Non-Fatal , Substantial ,40401
 NYC07FA056 , 01/15/2007 , IMC , Fatal(1) , Destroyed ,88862
 MIA07FA042 , 01/15/2007 , IMC , Fatal(2) , Substantial ,62177
 MIA07CA040 , 01/14/2007 , VMC , Non-Fatal , Substantial ,77788
 MIA07LA039 , 01/14/2007 , VMC , Non-Fatal , Substantial ,84672
 MIA07LA038 , 01/14/2007 , VMC , Non-Fatal , Substantial ,107722
 DFW07CA057 , 01/14/2007 , VMC , Non-Fatal , Substantial ,65077
 SEA07LA048 , 01/14/2007 , VMC , Non-Fatal , Substantial ,117010
 SEA07CA047 , 01/13/2007 , VMC , Non-Fatal , Substantial ,21883
 ANC07LA015 , 01/13/2007 , VMC , Non-Fatal , Substantial ,68114
 DEN07WA050 , 01/13/2007 , VMC , Non-Fatal , Substantial ,104822
 DEN07LA049 , 01/12/2007 , VMC , Non-Fatal , Substantial ,33785
 CHI07LA059 , 01/12/2007 , VMC , Non-Fatal , Destroyed ,84560
 MIA07LA036 , 01/12/2007 , VMC , Non-Fatal , Substantial ,26208
 LAX07MA069 , 01/12/2007 , VMC , Fatal(2) , Destroyed ,117721
 SEA07CA045 , 01/12/2007 , VMC , Non-Fatal , Substantial ,115695
 ENG07IA009 , 01/12/2007 , VMC , Incident , Minor ,99946
 SEA07LA046 , 01/11/2007 , VMC , Non-Fatal , Substantial ,104044
 MIA07CA035 , 01/11/2007 , VMC , Non-Fatal , Substantial ,71947
 OPS07IA002 , 01/10/2007 , VMC , Incident ,  ,3621
 SEA07LA044 , 01/10/2007 , VMC , Non-Fatal , Substantial ,82916
 DFW07FA055 , 01/10/2007 , VMC , Fatal(1) , Destroyed ,18669
 CHI07CA058 , 01/10/2007 , VMC , Non-Fatal , Substantial ,95728
 CHI07CA057 , 01/09/2007 , VMC , Non-Fatal , Destroyed ,4422
 ANC07FA013 , 01/09/2007 , VMC , Fatal(1) , Substantial ,88144
 MIA07RA034 , 01/09/2007 , VMC , Fatal(2) , Destroyed ,64411
 NYC07FA055 , 01/08/2007 , IMC , Fatal(1) , Destroyed ,60978
 DEN07IA048 , 01/08/2007 , VMC , Incident , Minor ,101233
 ANC07LA014 , 01/07/2007 , VMC , Non-Fatal , Substantial ,85450
 SEA07LA043 , 01/07/2007 , VMC , Non-Fatal , Substantial ,102474
 ENG07WA028 , 01/07/2007 ,  , Incident , Minor ,114500
 ANC07WA012 , 01/07/2007 ,  , Fatal(1) , Substantial ,36791
 MIA07LA041 , 01/06/2007 , VMC , Non-Fatal ,  ,25368
 MIA07CA033 , 01/06/2007 , VMC , Non-Fatal , Substantial ,86226
 DEN07CA047 , 01/06/2007 , VMC , Non-Fatal , Substantial ,97164
 DFW07CA053 , 01/05/2007 , VMC , Non-Fatal , Substantial ,17174
 CHI07CA055 , 01/05/2007 , VMC , Non-Fatal , Substantial ,2981
 WAS07WA007 , 01/05/2007 , VMC , Fatal(1) , Destroyed ,56007
 OPS07IA001A , 01/05/2007 , IMC , Incident ,  ,30434
 OPS07IA001B , 01/05/2007 , IMC , Incident ,  ,68109
 DEN07FA045 , 01/05/2007 , IMC , Fatal(1) , Destroyed ,72887
 ATL07FA031 , 01/04/2007 , IMC , Fatal(3) , Destroyed ,72940
 SEA07LA041 , 01/04/2007 , VMC , Non-Fatal , Substantial ,4384
 DFW07FA051 , 01/04/2007 , IMC , Fatal(2) , Destroyed ,81658
 SEA07CA042 , 01/04/2007 , VMC , Non-Fatal , Substantial ,87180
 NYC07CA054 , 01/04/2007 , VMC , Non-Fatal , Substantial ,79868
 CHI07CA054 , 01/03/2007 , VMC , Non-Fatal , Substantial ,81239
 DEN07LA044 , 01/03/2007 , VMC , Non-Fatal , Substantial ,33528
 CHI07FA052 , 01/02/2007 , VMC , Fatal(1) , Destroyed ,71189
 DFW07LA052 , 01/02/2007 , VMC , Non-Fatal , Substantial ,121155
 DFW07FA049 , 01/02/2007 , IMC , Fatal(3) , Destroyed ,51822
 DCA07RA019 , 01/01/2007 ,  , Fatal(102) , Destroyed ,45291
 DEN07CA046 , 01/01/2007 , VMC , Non-Fatal , Substantial ,31623
 DFW07CA048 , 12/31/2006 , VMC , Non-Fatal , Substantial ,109823
 LAX07CA070 , 12/31/2006 , VMC , Non-Fatal , Substantial ,42949
 NYC07CA053 , 12/31/2006 , VMC , Non-Fatal , Substantial ,118663
 DFW07CA047 , 12/31/2006 , VMC , Non-Fatal , Substantial ,88839
 DCA07WA021 , 12/31/2006 ,  , Incident ,  ,122697
 ANC07LA011 , 12/31/2006 , IMC , Non-Fatal , Substantial ,37455
 NYC07FA052 , 12/31/2006 , IMC , Fatal(4) , Destroyed ,12805
 CHI07LA051 , 12/31/2006 , IMC , Fatal(1) , Substantial ,8581
 DEN07LA042 , 12/31/2006 , VMC , Non-Fatal , Substantial ,96110
 LAX07LA067 , 12/31/2006 , VMC , Fatal(1) , Substantial ,30791
 LAX07LA081 , 12/30/2006 , VMC , Non-Fatal , Substantial ,6417
 SEA07LA040 , 12/30/2006 , IMC , Fatal(1) , Substantial ,110242
 WAS07WA006 , 12/30/2006 , VMC , Non-Fatal , Destroyed ,79344
 DFW07WA054 , 12/30/2006 , VMC , Fatal(2) , Destroyed ,4122
 ENG07WA010 , 12/30/2006 ,  , Incident , Minor ,10909
 DFW07CA050 , 12/30/2006 , VMC , Non-Fatal , Substantial ,5503
 ANC07CA010 , 12/30/2006 , IMC , Non-Fatal , Substantial ,112537
 SEA07LA039 , 12/29/2006 , VMC , Non-Fatal , Substantial ,71794
 CHI07LA050 , 12/29/2006 , IMC , Non-Fatal , Substantial ,97690
 DEN07WA041 , 12/29/2006 , VMC , Fatal(1) , Destroyed ,67068
 CHI07LA056 , 12/28/2006 , VMC , Non-Fatal , Substantial ,42309
 DCA07WA018 , 12/28/2006 , VMC , Incident , Substantial ,29199
 CHI07FA048 , 12/27/2006 , VMC , Fatal(2) , Substantial ,65770
 LAX07LA065 , 12/27/2006 , VMC , Non-Fatal , Substantial ,87499
 DFW07CA046 , 12/27/2006 , VMC , Non-Fatal , Substantial ,118654
 DFW07CA045 , 12/27/2006 , VMC , Non-Fatal , Substantial ,106086
 LAX07CA066 , 12/27/2006 , VMC , Non-Fatal , Substantial ,41821
 CHI07CA047 , 12/26/2006 , VMC , Non-Fatal , Substantial ,26073
 DFW07CA044 , 12/26/2006 , VMC , Non-Fatal , Substantial ,111139
 LAX07LA064A , 12/26/2006 , VMC , Non-Fatal , Minor ,44805
 LAX07LA064B , 12/26/2006 , VMC , Non-Fatal , Substantial ,129129
 MIA07IA031 , 12/26/2006 , VMC , Incident ,  ,85849
 CHI07FA046 , 12/26/2006 , IMC , Fatal(2) , Substantial ,113737
 DFW07LA056 , 12/26/2006 , VMC , Non-Fatal , Destroyed ,70440
 NYC07FA051 , 12/26/2006 , IMC , Fatal(2) , Destroyed ,26661
 ANC07LA009 , 12/26/2006 , VMC , Non-Fatal , Substantial ,114052
 ATL07FA030 , 12/25/2006 , IMC , Fatal(3) , Substantial ,43542
 DEN07CA039 , 12/25/2006 , VMC , Non-Fatal , Substantial ,74646
 MIA07CA030 , 12/24/2006 , VMC , Non-Fatal , Substantial ,27341
 DEN07CA043 , 12/24/2006 , VMC , Non-Fatal , Substantial ,105035
 DCA07WA017 , 12/24/2006 , VMC , Non-Fatal , Substantial ,21799
 ANC07LA008 , 12/23/2006 , IMC , Non-Fatal , Substantial ,23454
 LAX07CA063 , 12/23/2006 , VMC , Non-Fatal , Substantial ,84381
 CHI07CA049 , 12/22/2006 , IMC , Non-Fatal , Substantial ,1603
 ATL07FA029 , 12/22/2006 , IMC , Fatal(4) , Substantial ,86323
 LAX07FA061 , 12/22/2006 , VMC , Fatal(1) , Destroyed ,116965
 CHI07FA045 , 12/22/2006 , VMC , Fatal(4) , Destroyed ,37636
 SEA07LA038 , 12/22/2006 , VMC , Non-Fatal , Substantial ,17855
 MIA07FA029 , 12/22/2006 , IMC , Fatal(5) , Destroyed ,95169
 DFW07LA043 , 12/21/2006 , VMC , Non-Fatal , Substantial ,30115
 SEA07LA037 , 12/21/2006 , VMC , Non-Fatal , Substantial ,114820
 LAX07FA060 , 12/21/2006 , VMC , Fatal(2) , Substantial ,105567
 LAX07LA058 , 12/21/2006 , VMC , Non-Fatal , Substantial ,17915
 LAX07FA059 , 12/21/2006 , IMC , Fatal(4) , Destroyed ,23116
 MIA07LA032 , 12/21/2006 , VMC , Non-Fatal , Substantial ,49234
 CHI07CA044 , 12/20/2006 , VMC , Non-Fatal , Substantial ,75590
 SEA07LA050 , 12/20/2006 ,  , Non-Fatal , Substantial ,54943
 DFW07FA042 , 12/19/2006 , IMC , Fatal(1) , Destroyed ,27446
 SEA07FA035 , 12/18/2006 , VMC , Fatal(3) , Destroyed ,62243
 DFW07FA041 , 12/18/2006 , IMC , Fatal(1) , Destroyed ,91443
 LAX07FA062 , 12/18/2006 , IMC , Fatal(1) , Destroyed ,28672
 CHI07LA043 , 12/17/2006 , VMC , Non-Fatal , Substantial ,101809
 CHI07FA041 , 12/17/2006 , VMC , Fatal(4) , Destroyed ,68631
 MIA07LA028 , 12/17/2006 , IMC , Non-Fatal , Substantial ,93224
 SEA07LA036 , 12/17/2006 , VMC , Non-Fatal , Substantial ,56970
 ATL07LA028 , 12/17/2006 , VMC , Non-Fatal , Substantial ,29922
 SEA07CA034 , 12/17/2006 , VMC , Non-Fatal , Substantial ,110649
 DFW07FA039 , 12/16/2006 , VMC , Fatal(3) , Substantial ,58263
 WAS07WA005 , 12/16/2006 , VMC , Fatal(2) , Destroyed ,72836
 ENG06WA040 , 12/16/2006 ,  , Incident ,  ,64404
 DEN07WA038 , 12/16/2006 , VMC , Non-Fatal , Substantial ,108357
 DFW07WA040 , 12/15/2006 ,  , Fatal(3) , Destroyed ,32305
 DEN07IA037 , 12/15/2006 , VMC , Incident , Minor ,98747
 MIA07CA027 , 12/15/2006 , VMC , Non-Fatal , Substantial ,99409
 DFW07CA038 , 12/15/2006 , VMC , Non-Fatal , Destroyed ,30382
 NYC07CA049 , 12/14/2006 , VMC , Non-Fatal , Substantial ,14836
 CHI07CA040 , 12/14/2006 , VMC , Non-Fatal , Substantial ,98087
 CHI07LA038 , 12/14/2006 , VMC , Non-Fatal , Destroyed ,91967
 NYC07FA047 , 12/14/2006 , VMC , Fatal(1) , Substantial ,14032
 ANC07FA007 , 12/14/2006 , VMC , Fatal(2) , Destroyed ,105394
 NYC07FA048 , 12/14/2006 , IMC , Fatal(2) , Substantial ,114025
 CHI07LA037 , 12/13/2006 , VMC , Non-Fatal , Substantial ,15387
 MIA07LA026A , 12/13/2006 , VMC , Non-Fatal , Minor ,70553
 MIA07LA026B , 12/13/2006 , VMC , Non-Fatal , Substantial ,46968
 ATL07CA027 , 12/13/2006 , VMC , Non-Fatal , Substantial ,100345
 SEA07CA033 , 12/12/2006 , VMC , Non-Fatal , Substantial ,77495
 CEN09WA360 , 12/12/2006 , VMC , Incident ,  ,47211
 SEA07FA031 , 12/12/2006 , VMC , Fatal(1) , Substantial ,27076
 CHI07IA042 , 12/11/2006 , VMC , Incident , Minor ,110801
 CHI07LA036 , 12/11/2006 , VMC , Non-Fatal , Substantial ,37945
 DFW07CA037 , 12/11/2006 , VMC , Non-Fatal , Substantial ,115666
 SEA07CA029 , 12/11/2006 , VMC , Non-Fatal , Substantial ,22192
 NYC07CA045 , 12/11/2006 , VMC , Non-Fatal , Substantial ,116374
 NYC07CA046 , 12/10/2006 , VMC , Non-Fatal , Substantial ,59621
 CHI07CA075 , 12/10/2006 , VMC , Non-Fatal , Substantial ,66213
 LAX07FA056 , 12/10/2006 , IMC , Fatal(3) , Destroyed ,50455
 NYC07FA043 , 12/10/2006 , VMC , Fatal(1) , Destroyed ,109267
 LAX07LA055 , 12/10/2006 , VMC , Non-Fatal , Substantial ,49345
 ATL07LA026 , 12/10/2006 , VMC , Non-Fatal , Substantial ,78910
 ATL07LA025 , 12/10/2006 , VMC , Fatal(2) , Destroyed ,62143
 DFW07FA036 , 12/10/2006 , IMC , Fatal(3) , Destroyed ,34788
 NYC07FA042 , 12/09/2006 , VMC , Fatal(2) , Substantial ,79166
 LAX07LA054 , 12/09/2006 , VMC , Fatal(2) , Destroyed ,54145
 SEA07LA028 , 12/09/2006 , VMC , Non-Fatal , Substantial ,22803
 CHI07LA039 , 12/09/2006 , VMC , Non-Fatal , Substantial ,39066
 SEA07CA027 , 12/09/2006 , VMC , Non-Fatal , Substantial ,2953
 CHI07LA034 , 12/08/2006 , VMC , Non-Fatal , Substantial ,118883
 DEN07LA036 , 12/08/2006 , VMC , Non-Fatal , Substantial ,8606
 NYC07FA041 , 12/07/2006 , IMC , Fatal(1) , Destroyed ,30989
 DCA07WA015 , 12/07/2006 ,  , Incident ,  ,93201
 DEN07CA035 , 12/07/2006 , VMC , Non-Fatal , Substantial ,67226
 LAX07CA053 , 12/07/2006 , VMC , Non-Fatal , Substantial ,31246
 DFW07CA035 , 12/06/2006 , VMC , Non-Fatal , Substantial ,53810
 DCA07WA014 , 12/06/2006 ,  , Incident , Minor ,33547
 LAX07LA052 , 12/06/2006 , VMC , Non-Fatal , Substantial ,31792
 SEA07LA026 , 12/06/2006 , VMC , Non-Fatal , Substantial ,109044
 SEA07LA030 , 12/06/2006 , VMC , Non-Fatal , Substantial ,84959
 CHI07CA033 , 12/05/2006 , VMC , Non-Fatal , Substantial ,51434
 ATL07LA024 , 12/04/2006 , VMC , Non-Fatal , Substantial ,128601
 MIA07CA025 , 12/04/2006 , VMC , Non-Fatal , Substantial ,73783
 DFW07CA034 , 12/03/2006 , VMC , Non-Fatal , Substantial ,27310
 CHI07LA035 , 12/03/2006 , IMC , Non-Fatal , Substantial ,77412
 NYC07LA040 , 12/03/2006 , VMC , Non-Fatal , Substantial ,71880
 DEN07WA031 , 12/03/2006 , VMC , Fatal(1) , Destroyed ,92153
 NYC07FA038 , 12/02/2006 , VMC , Fatal(1) , Destroyed ,23223
 SEA07LA025 , 12/02/2006 , VMC , Fatal(2) , Destroyed ,57446
 DFW07LA032 , 12/02/2006 , VMC , Fatal(2) , Substantial ,34018
 DFW07CA033 , 12/02/2006 , VMC , Non-Fatal , Substantial ,79125
 SEA07CA032 , 12/01/2006 , VMC , Non-Fatal , Substantial ,83519
 CHI07FA032 , 12/01/2006 , IMC , Fatal(2) , Destroyed ,33984
 LAX07TA051 , 12/01/2006 , VMC , Non-Fatal , Substantial ,19147
 LAX07WA057 , 12/01/2006 , VMC , Fatal(1) , Destroyed ,115784
 NYC07FA037 , 11/30/2006 , IMC , Fatal(1) , Destroyed ,105217
 DEN07LA030 , 11/30/2006 , VMC , Non-Fatal , Substantial ,109207
 DEN07WA034 , 11/29/2006 , VMC , Fatal(1) , Destroyed ,13856
 NYC07WA044 , 11/27/2006 ,  , Fatal(2) , Destroyed ,76447
 LAX07CA050 , 11/27/2006 , VMC , Non-Fatal , Substantial ,47209
 CHI07CA027 , 11/26/2006 , VMC , Non-Fatal ,  ,51605
